yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,equalinc,nbgoodc,nbstatus,nbmedia,futsup,discent,exbuscon,exreason,busang,bafund,barel,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,TEAJOBGR,EB_JOBGR,EB_OWNER,TEAOWNER,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP,TEAJOBNOW,EB_JOBNOW,TEACOMPET,EB_COMPET,TEANEWPR,EB_NEWPR,TEANEWTEC,EB_NEWTEC,TEAEXPORT,EB_EXPORT
2011,.6086129665,.6324330756,33,0,-1,1,0,,,,,0,0,,,0,,,2,4,4,3,3,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,.7434636278,.7725615698,33,1,1,1,0,,,,,0,0,,,0,,,1,2,5,3,4,0,,,,,0,9,-2,0,0,0,,,,,,,,,,
2011,.4489226407,.4664927335,3467,0,0,1,1,,,,,0,0,,,0,,,1,5,2,5,4,0,,,,,0,2,4,0,0,0,,,,,,,,,,
2011,,1.142807713,33,0,1,0,1,,,,,0,0,,,0,,,2,7,1,2,3,0,,,,,0,6,4,0,0,0,,,,,,,,,,
2011,,1.060757901,33,0,1,1,1,,,,,1,0,,,0,,,2,7,5,2,3,0,12,,,1,0,3,-2,1,1,0,,,3,,1,,3,,4,
2011,.4489226407,.4664927335,-2,0,0,1,1,,,,,0,0,,,0,,,1,5,2,-2,5,1,,0,2,,0,2,1,0,0,0,,1,,1,,3,,3,,7
2011,1.654847817,1.719615835,68100,1,1,1,-1,,,,,0,0,,,0,,,1,3,1,7,3,0,2,,,1,0,6,-2,1,0,1,0,,2,,3,,2,,3,
2011,2.047885362,2.128036222,33,0,0,0,1,,,,,0,0,,,0,,,2,2,3,2,3,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,1.405411682,1.460417181,-2,0,-1,1,-1,,,,,0,1,2,9,0,,,1,5,3,-2,-2,0,0,,,1,0,3,-2,1,0,1,1,,1,,3,,3,,7,
2011,1.294497241,1.345161732,68100,1,0,1,0,,,,,0,1,2,3,1,30000,1,1,4,3,6,5,0,,,,,0,8,1,0,0,0,,,,,,,,,,
2011,1.174028744,1.219978295,68100,0,1,0,0,,,,,0,0,,,0,,,2,4,2,6,6,0,,,,,0,3,-2,0,0,0,,,,,,,,,,
2011,1.25595138,1.305107248,33,0,0,0,1,,,,,0,0,,,0,,,2,3,2,2,5,0,,,,,0,10,-2,0,0,0,,,,,,,,,,
2011,1.031388545,1.071755394,33,0,0,0,0,,,,,0,0,,,0,,,2,4,4,1,3,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,.9880142079,1.026683457,68100,0,1,1,1,,,,,0,0,,,0,,,1,5,2,8,4,1,,0,10,,0,6,-2,0,0,0,,50,,1,,3,,3,,6
2011,1.541319679,1.601644393,33,0,0,0,0,,,,,0,0,,,0,,,2,6,1,3,3,0,,,,,0,1,-2,0,0,0,,,,,,,,,,
2011,1.319954426,1.371615268,-2,0,0,1,0,,,,,0,0,,,0,,,1,2,10,-1,1,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,,.619300035,33,0,0,0,0,,,,,0,0,,,0,,,1,7,1,2,4,0,,,,,0,9,1,0,0,0,,,,,,,,,,
2011,1.610530642,1.673564159,68100,0,0,1,0,,,,,0,0,,,0,,,1,3,3,6,4,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,1.138745124,1.183313732,3467,0,0,1,1,,,,,0,0,,,0,,,1,5,3,5,3,1,,0,1,,0,10,-2,0,0,0,,2,,1,,3,,3,,7
2011,.9180567386,.9539879674,-2,0,0,1,1,,,,,0,0,,,0,,,2,5,4,-2,5,0,,,,,0,9,1,0,0,0,,,,,,,,,,
2011,.6086129665,.6324330756,3467,1,-1,-1,0,,,,,0,0,,,0,,,2,4,2,4,6,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.9880142079,1.026683457,68100,0,-1,0,0,,,,,0,0,,,0,,,1,5,2,7,1,0,,,,,0,6,1,0,0,0,,,,,,,,,,
2011,.5538004048,.5754752406,33,0,0,0,1,,,,,0,0,,,0,,,2,5,1,1,2,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.6115176258,.6354514186,68100,0,-1,0,1,,,,,0,0,,,0,,,1,3,4,8,4,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,,.364301699,33,0,-1,0,-1,,,,,0,0,,,0,,,1,7,2,3,3,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,,.7467723918,33,0,1,0,0,,,,,0,0,,,0,,,2,7,1,3,4,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,.7040606482,.7316164225,68100,1,1,1,0,,,,,1,0,,,1,-3,4,1,6,1,7,4,1,25,0,1,5,0,9,-2,1,0,1,0,0,3,1,1,3,2,3,-1,6
2011,1.25595138,1.305107248,-2,0,-1,0,0,,,,,0,0,,,0,,,2,3,8,-1,3,0,,,,,0,10,1,0,0,0,,,,,,,,,,
2011,1.654108245,1.718847318,33,0,0,0,0,,,,,0,0,,,0,,,1,2,2,1,3,0,,,,,0,7,-2,0,0,0,,,,,,,,,,
2011,1.13532238,1.179757028,-2,1,-1,0,-1,,,,,0,0,,,0,,,1,6,-2,-1,2,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,1.024740246,1.064846891,-2,0,0,0,-1,,,,,0,0,,,0,,,1,2,2,-2,3,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,.9975572848,1.036600034,33,0,1,0,1,,,,,0,0,,,0,,,2,6,1,2,2,0,,,,,0,10,1,0,0,0,,,,,,,,,,
2011,1.011199674,1.050776363,3467,0,1,0,0,,,,,1,0,,,0,,,1,4,6,4,5,0,,,,,0,3,-2,0,0,0,,,,,,,,,,
2011,1.07354722,1.11556409,3467,0,1,0,0,,,,,0,0,,,0,,,1,5,1,4,3,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,.6885632225,.715512453,68100,0,1,1,1,,,,,0,0,,,0,,,1,4,2,8,6,0,,,,,0,9,-2,0,0,0,,,,,,,,,,
2011,1.097579081,1.140536518,68100,0,-1,0,1,,,,,0,0,,,0,,,1,6,2,7,4,0,,,,,0,6,-2,0,0,0,,,,,,,,,,
2011,1.223612775,1.271502964,33,1,-1,1,0,,,,,0,0,,,0,,,2,2,1,2,5,0,0,,,1,0,10,-2,1,0,1,0,,1,,3,,3,,7,
2011,,1.864786765,68100,1,0,1,0,,,,,0,0,,,0,,,1,7,2,9,5,0,,,,,0,1,1,0,0,0,,,,,,,,,,
2011,.8856703587,.9203340379,68100,0,0,1,0,,,,,0,0,,,0,,,1,5,3,9,2,0,50,,,1,0,4,1,1,0,1,,,2,,3,,2,,6,
2011,.8856703587,.9203340379,68100,0,0,1,0,,,,,0,0,,,0,,,1,5,1,6,3,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,.6180377061,.6422266841,33,0,-1,0,0,,,,,0,0,,,0,,,2,2,3,1,2,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,.6435343874,.6687212634,33,0,-1,0,1,,,,,0,0,,,0,,,2,6,1,2,3,0,,,,,0,9,1,0,0,0,,,,,,,,,,
2011,,1.297490962,3467,0,-1,1,1,,,,,0,0,,,0,,,2,7,1,4,3,1,,0,2,,0,4,1,0,0,0,,0,,-1,,3,,3,,-1
2011,1.300250507,1.351140171,-2,0,-1,0,0,,,,,0,0,,,0,,,2,6,3,-1,6,0,,,,,0,6,2,0,0,0,,,,,,,,,,
2011,.7856151061,.8163627875,33,1,1,0,0,,,,,1,0,,,1,500,4,1,3,5,3,2,0,,,,,0,9,-2,0,0,0,,,,,,,,,,
2011,1.020805264,1.060757901,3467,0,0,1,0,,,,,0,0,,,0,,,2,6,2,5,3,0,,,,,0,3,-2,0,0,0,,,,,,,,,,
2011,.5538004048,.5754752406,-2,1,-1,0,0,,,,,0,0,,,0,,,2,5,2,-2,-2,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,,.364301699,68100,1,1,1,-1,,,,,0,1,1,1,0,,,1,7,2,7,3,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,.3606640966,.3747798953,68100,1,1,0,0,,,,,0,0,,,0,,,2,6,2,8,6,1,,0,1,,0,2,1,0,0,0,,0,,2,,3,,2,,7
2011,.6885632225,.715512453,68100,1,1,1,0,,,,,0,0,,,0,,,1,4,2,9,3,0,0,,,1,0,9,-2,1,0,0,2,,2,,2,,3,,7,
2011,1.186722283,1.233168639,33,0,1,1,0,,,,,0,0,,,0,,,2,5,5,3,3,0,,,,,0,6,1,0,0,0,,,,,,,,,,
2011,.8586493173,.8922554374,33,0,-1,0,1,,,,,0,0,,,0,,,2,6,2,2,3,0,,,,,0,10,-2,0,0,0,,,,,,,,,,
2011,.7546283857,.7841632979,-2,0,0,0,1,,,,,0,0,,,0,,,2,4,4,-1,-1,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,.8856703587,.9203340379,-2,0,0,0,-1,,,,,0,0,,,0,,,1,5,-2,-2,-2,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,.7433600229,.7724539099,33,0,0,1,1,,,,,1,1,2,7,0,,,1,4,1,1,4,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,1.541319679,1.601644393,3467,0,0,0,0,,,,,0,0,,,0,,,2,6,2,4,5,0,,,,,0,1,-2,0,0,0,,,,,,,,,,
2011,1.462051037,1.519273306,68100,1,-2,1,0,,,,,1,0,,,0,,,2,2,5,7,5,0,0,,,1,0,6,2,1,0,0,3,,2,,3,,3,,5,
2011,.9435316638,.9804599392,33,1,1,0,1,,,,,0,0,,,0,,,1,6,1,1,5,1,,0,1,,0,10,-2,0,0,0,,0,,1,,3,,3,,6
2011,.7546283857,.7841632979,68100,0,-1,1,1,,,,,0,0,,,0,,,2,4,4,6,6,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,,.3533597191,68100,0,1,0,0,,,,,0,0,,,0,,,2,7,1,6,4,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,1.156858142,1.202135665,3467,1,0,1,0,,,,,0,0,,,0,,,1,6,2,5,5,1,,0,1,,0,6,1,0,0,0,,2,,3,,3,,3,,7
2011,.9180567386,.9539879674,3467,1,1,1,0,,,,,0,0,,,0,,,2,5,2,4,6,1,,0,1,,0,9,1,0,0,0,,0,,1,,3,,3,,6
2011,1.07354722,1.11556409,3467,0,0,0,1,,,,,0,0,,,0,,,1,5,3,4,3,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,,.3533597191,-2,1,0,1,1,,,,,0,0,,,0,,,2,7,1,-2,5,0,,,,,0,2,1,0,0,0,,,,,,,,,,
